Country;Country_Code;Region;Region_Code;Latitude;Longitude
Burundi;BI;Cibitoke;BI;-2.8477341000000003;29.2616619938218
Burundi;BI;Gitega;BI;-3.4284953;29.9249718
Burundi;BI;Kirundo;BI;-2.5606278;30.1651351
Burundi;BI;Karuzi;BI;-3.1255377;30.0978347
Burundi;BI;Kayanza;BI;-3.0214816;29.6458034
Burundi;BI;Makamba;BI;-4.1978315;29.8073996
Burundi;BI;Muramvya;BI;-3.2751181;29.6307855
Burundi;BI;Mwaro;BI;-3.4650043;29.6708508
Burundi;BI;Muyinga;BI;-2.73359845;30.3171440880671
Burundi;BI;Ngozi;BI;-2.8776895;29.8994986
Burundi;BI;Rumonge;BI;-3.87550755;29.4706207141304
Burundi;BI;Rutana;BI;-3.8618714;30.0676979
Burundi;BI;Ruyigi;BI;-3.4573515500000003;30.3488302971123
Benin;BJ;Atacora;BJ;10.7160515;1.5331527
Benin;BJ;Alibori;BJ;11.4649482;2.7938798
Benin;BJ;Atlantique;BJ;6.540829;2.223095
Benin;BJ;Borgou;BJ;9.7097453;2.7422648
Benin;BJ;Collines;BJ;8.1085479;2.1853101
Benin;BJ;Donga;BJ;9.2679806;1.7170684
Benin;BJ;Couffo;BJ;7.1312662;1.7567394
Benin;BJ;Littoral;BJ;6.3663195;2.4170608
Benin;BJ;Mono;BJ;6.457624;1.867408
Benin;BJ;OuÃ©m;BJ;6.6013531;2.550566
Benin;BJ;Plateau;BJ;7.1002602;2.6409144
Benin;BJ;Zou;BJ;7.2834335;2.1227604
Botswana;BW;Central;BW;-21.4790187;26.2154174
Botswana;BW;Chobe;BW;-18.391508450000003;24.7067517615027
Botswana;BW;Francistown;BW;-21.16636;27.502515
Botswana;BW;Gaborone;BW;-24.6581357;25.9088474
Botswana;BW;Ghanzi;BW;-22.145794;22.7610828
Botswana;BW;Jwaneng;BW;-24.59055685;24.7618931461405
Botswana;BW;Kgalagadi;BW;-24.8490576;21.7883349
Botswana;BW;Kgatleng;BW;-24.134085;26.4177245829593
Botswana;BW;Kweneng;BW;-23.9028101;24.9214122
Botswana;BW;Lobatse;BW;-25.2100604;25.6819594
Botswana;BW;North East;BW;-21.0244816;27.5147504
Botswana;BW;North West;BW;-19.3893529;23.267951
Botswana;BW;South East;BW;-24.62994925;26.0454757798826
Botswana;BW;Southern;BW;-24.7998688;24.5800692
Botswana;BW;Selibe Phikwe;BW;-21.9785377;27.8373825
Botswana;BW;Sowa Town;BW;-20.563596;26.221489
Central African Republic;CF;Ouham;CF;7.1314008;17.7041361
Central African Republic;CF;Bamingui-Bangoran;CF;8.698547;20.5281149
Central African Republic;CF;Bangui;CF;4.3635118;18.5835913
Central African Republic;CF;Basse-Kotto;CF;5.1283201;21.3883825
Central African Republic;CF;Haute-Kotto;CF;7.3625645;22.9271411
Central African Republic;CF;Haut-Mbomou;CF;6.3497929;25.6508738
Central African Republic;CF;Gribingui;CF;7.0041462;19.1900582
Central African Republic;CF;Lobaye;CF;4.1034548;17.5653592
Central African Republic;CF;Mbomou;CF;5.5230899;23.4445705
Central African Republic;CF;Ombella-Mpoko;CF;5.0726761;18.1717789
Central African Republic;CF;Nana-MambÃ©r;CF;5.2231625;15.3517922
Central African Republic;CF;Ouham-PendÃ;CF;6.7057282;16.1443202
Central African Republic;CF;Sangha;CF;3.6754895;16.3246915
Central African Republic;CF;Ouaka;CF;6.3110548;20.5447525
